,url
0,https://patch.com/new-jersey/morristown
1,https://patch.com/connecticut/granby-eastgranby
2,https://patch.com/new-york/carrollgardens
3,https://patch.com/maryland/belair
4,https://patch.com/missouri/stpeters
5,https://patch.com/massachusetts/seekonk-swansea
6,https://patch.com/michigan/macomb
7,https://patch.com/florida/lakeland
8,https://patch.com/new-york/soho-little-italy
9,https://patch.com/new-jersey/bloomfield
10,https://patch.com/missouri/olivette
11,https://patch.com/missouri/kirkwood
12,https://patch.com/connecticut/bethwood
13,https://patch.com/maryland/northpotomac
14,https://patch.com/georgia/buford
15,https://patch.com/pennsylvania/lowermoreland
16,https://patch.com/california/losgatos
17,https://patch.com/montana/billings
18,https://patch.com/pennsylvania/abington
19,https://patch.com/texas/across-tx
20,https://patch.com/california/redwoodcity-woodside
21,https://patch.com/illinois/desplaines
22,https://patch.com/california/san-francisco
23,https://patch.com/illinois/shorewood-il
24,https://patch.com/california/east-palo-alto
25,https://patch.com/washington/shoreline
26,https://patch.com/michigan/detroit
27,https://patch.com/minnesota/edenprairie
28,https://patch.com/california/centurycity
29,https://patch.com/maryland/columbia
30,https://patch.com/illinois/arlingtonheights
31,https://patch.com/nebraska/omaha
32,https://patch.com/minnesota/applevalley-rosemount
33,https://patch.com/hawaii/honolulu
34,https://patch.com/new-york/threevillage
35,https://patch.com/new-york/rochester-ny
36,https://patch.com/pennsylvania/uppermacungie
37,https://patch.com/illinois/wilmette
38,https://patch.com/maryland/essex
39,https://patch.com/vermont/burlington-vt
40,https://patch.com/pennsylvania/limerick
41,https://patch.com/michigan/grand-rapids
42,https://patch.com/michigan/royaloak
43,https://patch.com/texas/arlington-tx
44,https://patch.com/california/dixon
45,https://patch.com/minnesota/plymouth-mn
46,https://patch.com/illinois/northcenter-roscoevillage
47,https://patch.com/ohio/shakerheights
48,https://patch.com/connecticut/stafford-willington
49,https://patch.com/massachusetts/norton
50,https://patch.com/connecticut/newcanaan
51,https://patch.com/texas/sugarland
52,https://patch.com/new-york/sachem
53,https://patch.com/minnesota/fridley
54,https://patch.com/california/temecula
55,https://patch.com/georgia/southcobb
56,https://patch.com/illinois/evergreenpark
